id,careerId,name,socname,educationalRequirementName,description,Values
ckwg.US.en.6.03,ckc.US.en-6.03-5,"Police, Fire, or Ambulance Dispatcher ","Police, Fire, or Ambulance Dispatcher",High school diploma or equivalent,Answers emergency 911 calls; directs and informs the right emergency responders.,accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.03,ckc.US.en-6.03-6,Receptionist ,Receptionist,High school diploma or equivalent,"Performs daily clerical duties like answering the phone, greeting customers in an office.",accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.03,ckc.US.en-6.03-7,Reservation or Transportation Ticket Agent,Reservation or Transportation Ticket Agent,High school diploma or equivalent,Makes and confirms reservations; checks baggage for traveling customers.,accuracy;conformity;efficiency;organization;planning
ckwg.US.en.1.1,ckc.US.en-1.1-1,Power Plant Operator ,Power Plant Operator,High school diploma or equivalent,Controls systems that distribute and generate electric power; monitors power-generating equipment.,activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.1,ckc.US.en-1.1-2,Ship Engineer ,Ship Engineer,High school + certificate,"Maintains and fixes ships' mechanical systems, like propulsion and steering.",activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.1,ckc.US.en-1.1-3,Stationary Engineer and Boiler Operator ,Stationary Engineer and Boiler Operator,High school diploma or equivalent,Controls stationary engines and boilers that provide heating and air flow to buildings.,activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.1,ckc.US.en-1.1-4,Water Treatment Plant Operator,Water Treatment Plant Operator,High school diploma or equivalent,Operates machines to transfer or treat wastewater and monitors operating conditions.,activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.4.03,ckc.US.en-4.03-1,Child Care Worker ,Child Care Worker,High school diploma or equivalent,Takes care of children when their parents or family are working or unavailable.,helping others;improving others' lives
ckwg.US.en.4.03,ckc.US.en-4.03-2,Dental Assistant ,Dental Assistant,High school + certificate,"Schedules appointments, cares for patients and maintains records in a dentist's office.",helping others;improving others' lives
ckwg.US.en.4.03,ckc.US.en-4.03-3,Home Health Aide ,Home Health Aide,None,"Assists disabled, ill or elderly individuals in their home with daily activities.",helping others;improving others' lives
ckwg.US.en.4.03,ckc.US.en-4.03-4,Licensed Practical or Vocational Nurse,Licensed Practical or Vocational Nurse,High school + certificate,"Observes and provides basic care to patients, like checking blood pressure.",helping others;improving others' lives
ckwg.US.en.4.03,ckc.US.en-4.03-5,Medical Assistant ,Medical Assistant,High school + certificate,"Takes and records basic patient information in a doctor's office, like measuring vital signs.",helping others;improving others' lives
ckwg.US.en.4.03,ckc.US.en-4.03-6,Nursing Assistant ,Nursing Assistant,High school + certificate,"Provides basic care for patients in hospitals and nursing homes, like cleaning, bathing, and feeding.",helping others;improving others' lives
ckwg.US.en.4.03,ckc.US.en-4.03-7,Personal Care Aide,Personal Care Aide,None,Helps mentally impaired people at home or in a residential facility with daily tasks.,helping others;improving others' lives
ckwg.US.en.4.03,ckc.US.en-4.03-8,Social & Human Service Assistant,Social & Human Service Assistant,High school diploma or equivalent,Helps individuals and families find and apply for social and government support during difficult times.,helping others;improving others' lives
ckwg.US.en.6.05,ckc.US.en-6.05-1,Budget Analyst,Budget Analyst,Bachelor’s degree,Helps organize public and private organizations' finances; develops budgets with managers.,accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.05,ckc.US.en-6.05-2,Executive Secretary or Administrative Assistant,Executive Secretary or Administrative Assistant,High school diploma or equivalent,"Performs daily clerical and administrative duties; organizes files, schedules appointments.",accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.05,ckc.US.en-6.05-3,Legal Secretary,Legal Secretary,High school diploma or equivalent,"Supports lawyers and paralegals by preparing documents, simple legal research and other clerical duties.",accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.05,ckc.US.en-6.05-4,Medical Secretary,Medical Secretary,High school diploma or equivalent,"Performs clerical duties using specific medical knowledge; organizes patient files, supports staff.",accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.05,ckc.US.en-6.05-5,Occupational Health & Safety Technician,Occupational Health & Safety Technician,High school diploma or equivalent,"Collects data, conducts tests and measures health conditions in the workplace.",accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.05,ckc.US.en-6.05-6,Office Clerk,Office Clerk,High school diploma or equivalent,"Performs administrative tasks: answering phones, typing, copying or scanning documents.",accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.05,ckc.US.en-6.05-7,Purchasing (Procurement) Clerk or Technician,Purchasing (Procurement) Clerk or Technician,High school diploma or equivalent,Collects information and records to create purchase orders buying materials and services.,accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.05,ckc.US.en-6.05-8,Secretary,Secretary,High school diploma or equivalent,"Performs clerical duties like answering phones, organizing files, and scheduling appointments.",accuracy;conformity;efficiency;organization;planning
ckwg.US.en.5.03,ckc.US.en-5.03-1,Administrative Law Judge/ Hearing Officer,Administrative Law Judge/ Hearing Officer,Doctoral or professional degree,"Conducts hearings and makes legal decisions, like granting unemployment benefits.",achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.03,ckc.US.en-5.03-2,"Arbitrator, Mediator, or Conciliator","Arbitrator, Mediator, or Conciliator",Bachelor’s degree,Helps resolve disputes between parties outside a courtroom.,achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.03,ckc.US.en-5.03-3,Judge,Judge,Doctoral or professional degree,Resolves civil disputes and oversees criminal trials by applying the law in the courtroom.,achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.03,ckc.US.en-5.03-4,Lawyer,Lawyer,Doctoral or professional degree,"Advises and represents individuals and companies navigating legal processes, like lawsuits or writing a will.",achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.03,ckc.US.en-5.03-5,Paralegal/Legal Assistant ,Paralegal/Legal Assistant,Associate’s degree,"Assists attorneys in writing legal documents, conducts research, talks to clients.",achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.1.11,ckc.US.en-1.11-1,Agricultural Equipment Operator,Agricultural Equipment Operator,None,Drives and controls farm equipment to harvest crops.,activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.11,ckc.US.en-1.11-2,Construction Equipment Operator ,Construction Equipment Operator,High school diploma or equivalent,"Drives and operates heavy construction equipment to build roads, buildings and other structures.",activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.11,ckc.US.en-1.11-3,Crane and Tower Operator ,Crane and Tower Operator,High school diploma or equivalent,"Operates boom/tower and cable equipment lifting large, heavy materials in many directions.",activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.11,ckc.US.en-1.11-4,"Grader, Bulldozer, or Scraper Operator ","Grader, Bulldozer, or Scraper Operator",High school diploma or equivalent,"Operates various types of construction equipment to move, scrape and excavate earth.",activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.11,ckc.US.en-1.11-5,Industrial Truck & Tractor Operator,Industrial Truck & Tractor Operator,None,"Drives industrial trucks or tractors moving materials around warehouses, factories or construction sites.",activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.11,ckc.US.en-1.11-6,Paving Equipment Operator ,Paving Equipment Operator,High school diploma or equivalent,"Operates equipment to apply concrete and other materials to make roads, parking lots.",activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.11,ckc.US.en-1.11-7,"Tank Car, Truck, or Ship Loader ","Tank Car, Truck, or Ship Loader",None,"Loads and unloads solid material into tank cars, trucks or ships using material moving equipment.",activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.2.08,ckc.US.en-2.08-1,Aerospace Engineer ,Aerospace Engineer,Bachelor’s degree,Designs and tests aircraft and other aerospace products and equipment.,ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.2.08,ckc.US.en-2.08-10,Environmental Engineer,Environmental Engineer,Bachelor’s degree,Applies engineering and scientific principles to find solutions to environmental problems.,ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.2.08,ckc.US.en-2.08-11,Health and Safety Engineer ,Health and Safety Engineer,Bachelor’s degree,"Develops procedures and designs systems to prevent illness, injury and property damage.",ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.2.08,ckc.US.en-2.08-12,Industrial Engineer ,Industrial Engineer,Bachelor’s degree,Designs efficient ways to manufacture products or provide a service.,ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.2.08,ckc.US.en-2.08-13,Management Analyst ,Management Analyst,Bachelor’s degree,Collects data and researches ways to improve an organization's efficiency and profitability.,ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.2.08,ckc.US.en-2.08-14,Marine Engineer or Naval Architect,Marine Engineer or Naval Architect,Bachelor’s degree,"Designs and builds small to large ships and watercraft, from aircraft carriers to sailboats.",ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.2.08,ckc.US.en-2.08-15,Nuclear Engineer,Nuclear Engineer,Bachelor’s degree,Researches and develops systems used to harness nuclear energy and radiation for benefits in medicine and energy.,ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.2.08,ckc.US.en-2.08-16,Petroleum Engineer,Petroleum Engineer,Bachelor’s degree,Designs and develops ways to extract oil and gas from deposits below the earth's surface.,ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.2.08,ckc.US.en-2.08-2,Agricultural Engineer ,Agricultural Engineer,Bachelor’s degree,"Helps solve farming and forestry problems like storage, power supplies, and the environment.",ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.2.08,ckc.US.en-2.08-3,Biomedical Engineer ,Biomedical Engineer,Bachelor’s degree,Analyzes and finds solutions to problems in biology and medicine for better patient care.,ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.2.08,ckc.US.en-2.08-4,Chemical Engineer ,Chemical Engineer,Bachelor’s degree,"Applies scientific principles to solve problems using products like chemicals, fuel and drugs.",ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.2.08,ckc.US.en-2.08-5,Civil Engineer ,Civil Engineer,Bachelor’s degree,"Designs and supervises large construction projects building roads, bridges and infrastructure.",ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.2.08,ckc.US.en-2.08-6,Computer Hardware Engineer ,Computer Hardware Engineer,Bachelor’s degree,"Researches, designs and tests computer hardware and components like circuit boards.",ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.2.08,ckc.US.en-2.08-7,Electrical Engineer ,Electrical Engineer,Bachelor’s degree,"Designs, develops and supervises the manufacturing of electrical equipment.",ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.2.08,ckc.US.en-2.08-8,Electronics Engineer ,Electronics Engineer,Bachelor’s degree,"Designs, develops and supervises the manufacturing of electrical components and systems.",ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.2.08,ckc.US.en-2.08-9,"Engineering Teacher, Postsecondary","Engineering Teacher, Postsecondary",Doctoral or professional degree,Teaches college-level courses about the laws and principles of engineering.,ambition;complex problem-solving;curiosity;independence;logic;scientific achievement
ckwg.US.en.1.12,ckc.US.en-1.12-1,Dental or Ophthalmic Laboratory Technician,Dental or Ophthalmic Laboratory Technician,High school diploma or equivalent,"Repairs, constructs and fits devices that improve patients' lives, like dentures and eyeglasses.",activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.12,ckc.US.en-1.12-2,Electrical or Electronic Equipment Assembler,Electrical or Electronic Equipment Assembler,High school diploma or equivalent,"Assembles, modifies and tests many types of electrical or electronic equipment and devices.",activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.12,ckc.US.en-1.12-3,Electromechanical Equipment Assembler,Electromechanical Equipment Assembler,High school diploma or equivalent,"Assembles, modifies, inspects and tests electromechanical equipment and appliances.",activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.12,ckc.US.en-1.12-4,Engine or Other Machine Assembler,Engine or Other Machine Assembler,High school diploma or equivalent,"Assembles, constructs and rebuilds machines and engines.",activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.12,ckc.US.en-1.12-5,Inspector or Tester ,Inspector or Tester,High school diploma or equivalent,"Inspects, tests, and measures products and materials following certain rules.",activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.12,ckc.US.en-1.12-6,"Machine Setter, Operator, and Tender","Machine Setter, Operator, and Tender",High school diploma or equivalent,"Sets up, operates and tends various types of cutting or forming machines.",activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.12,ckc.US.en-1.12-7,"Model Makers, Metal or Plastic","Model Makers, Metal or Plastic",High school diploma or equivalent,Sets up and operates milling and engraving machines to make models of metal or plastic objects.,activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.12,ckc.US.en-1.12-8,Printing Press Operator ,Printing Press Operator,High school diploma or equivalent,Sets up and operates various type of printing machines and equipment.,activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.12,ckc.US.en-1.12-9,Woodworker,Woodworker,High school diploma or equivalent,"Makes various wood products like furniture, cabinets, and musical instruments.",activity;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.01,ckc.US.en-1.01-1,Agricultural Technician ,Agricultural Technician,Associate’s degree,Measures and analyzes agricultural product quality to improve productivity.,activity;affinity for animals and/or plants;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.01,ckc.US.en-1.01-10,Landscaping or Groundskeeping Worker,Landscaping or Groundskeeping Worker,None,"Plants and maintains trees, lawns, and shrubs for outdoor spaces.",activity;affinity for animals and/or plants;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.01,ckc.US.en-1.01-2,Animal Breeder,Animal Breeder,High school diploma or equivalent,Chooses and breeds animals with desired characteristics.,activity;affinity for animals and/or plants;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.01,ckc.US.en-1.01-3,Animal Caretaker ,Animal Caretaker,High school diploma or equivalent,"Takes care of animals in shelters, may assist with veterinary procedures.",activity;affinity for animals and/or plants;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.01,ckc.US.en-1.01-4,Farmer or Rancher,Farmer or Rancher,High school diploma or equivalent,Runs a farm growing crops or a ranch raising animals.,activity;affinity for animals and/or plants;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.01,ckc.US.en-1.01-5,Farmworker ,Farmworker,None,Does physical work and operates machinery to harvest and inspect crops.,activity;affinity for animals and/or plants;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.01,ckc.US.en-1.01-6,Fisher,Fisher,None,"Locates, catches and traps fish or other marine life.",activity;affinity for animals and/or plants;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.01,ckc.US.en-1.01-7,Food Science Technician,Food Science Technician,Associate’s degree,Measures and analyzes food product quality to improve production.,activity;affinity for animals and/or plants;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.01,ckc.US.en-1.01-8,Forest or Conservation Worker ,Forest or Conservation Worker,High school diploma or equivalent,"Cuts, counts, and plants trees to improve forest quality.",activity;affinity for animals and/or plants;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.1.01,ckc.US.en-1.01-9,Forester ,Forester,Bachelor’s degree,Manages and regenerates forests by drawing up plans and directing forest workers.,activity;affinity for animals and/or plants;authenticity;autonomy;conformity;effectiveness;practicality
ckwg.US.en.5.06,ckc.US.en-5.06-1,Archivist ,Archivist,Master’s degree,"Creates records and determines the value for art, objects, and historical documents, preserving them.",achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.06,ckc.US.en-5.06-2,Curator,Curator,Master’s degree,Oversees and develops collections of art and other valuable items for display.,achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.06,ckc.US.en-5.06-3,Education Administrator (Postsecondary),Education Administrator (Postsecondary),Master’s degree,"Oversees a college's or university's responsibility like admissions, student services, or athletics.",achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.06,ckc.US.en-5.06-4,Emergency Management Director,Emergency Management Director,Bachelor’s degree,Prepares plans for and coordinates responding to natural disasters and other emergencies.,achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.06,ckc.US.en-5.06-5,Government Service Executive,Government Service Executive,Bachelor’s degree,"Plans and directs a government agency, like a mayor, city manager or governor.",achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.06,ckc.US.en-5.06-6,Legislator,Legislator,Bachelor’s degree,Develops and votes on state or federal laws on behalf of the voters they represent.,achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.06,ckc.US.en-5.06-7,School Principal,School Principal,Master’s degree,"Manages all operations of an elementary, middle or high school supporting staff and students.",achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.01,ckc.US.en-5.01-1,Insurance Sales Agent ,Insurance Sales Agent,High school diploma or equivalent,Explains and sells various types of insurance to fit individuals' needs.,achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.01,ckc.US.en-5.01-2,Purchasing Agent or Buyer,Purchasing Agent or Buyer,Bachelor’s degree,"Buys products for companies and stores them to use, or to sell in a store.",achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.01,ckc.US.en-5.01-3,Real Estate Sales Agent ,Real Estate Sales Agent,High school diploma or equivalent,"Advises and assists clients in purchasing, selling and renting various types of properties.",achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.01,ckc.US.en-5.01-4,Retail Salesperson ,Retail Salesperson,None,Helps customers find the products they need and processes their payment.,achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.01,ckc.US.en-5.01-5,"Sales Agent, Financial Services","Sales Agent, Financial Services",Bachelor’s degree,Advises individuals and businesses investing in financial markets like the stock exchange.,achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.01,ckc.US.en-5.01-6,"Sales Agent, Securities and Commodities","Sales Agent, Securities and Commodities",Bachelor’s degree,"Advises, sells and conducts trades for individuals and businesses in the financial market.",achievement;ambition;business success;enthusiasm;influence;leadership
