id,name,description,cipName
ckwg.CA.en.1.03,Applied Nuclear Science and Radiation Safety,"The Radiation Safety program at Algonquin College in the Ottawa Valley provides students with the radiation protection training that employers in the nuclear industry require. Our curriculum has been developed in consultation with experts in the nuclear industry, and includes a number of general academic subjects that provide students with a broader knowledge base to assist them in their career.  The optional co-op experience is an excellent way to gain more hands-on experience in workplace related to the nuclear industry.",Applied Nuclear Science and Radiation Safety.
ckwg.CA.en.1.03,Architectural Technician (weekend offering),"This two-year Ontario College Diploma program, scheduled on weekends, and accredited by the Canadian Technology Accreditation Board (CTAB) under the National Technology Benchmarks, prepares students for a career in construction document preparation in the construction and architectural fields. The curriculum focuses on working drawings, construction methods and materials, building science and computer-assisted design and drafting.",Architectural Technician (weekend offering).
ckwg.CA.en.1.03,Architectural Technician/Technology,"This two-year Ontario College Diploma program, accredited by the Canadian Technology Accreditation Board (CTAB) under the National Technology Benchmarks, prepares students for a career in construction document preparation in the construction and architectural fields. The curriculum focuses on working drawings, construction methods and materials, building science and computer-assisted design and drafting.",Architectural Technician/Technology.
ckwg.CA.en.1.03,Architectural Technology,"This three-year Ontario College Advanced Diploma program, accredited by the Canadian Technology Accreditation Board (CTAB) under the National Technology Benchmarks, prepares students for careers in architectural offices and the building industry by integrating the relationship between conceptual solutions and working drawings. The first four levels of the technology program, which are common to the Architectural Technician program, are followed by an additional two levels of study concentrating on commercial detailing.",Architectural Technology.
ckwg.CA.en.1.03,Bachelor of Building Science (Honours),"This four-year Bachelor of Building Science degree prepares graduates for opportunities in the construction industry and related fields that support and implement ongoing research and development related to building materials and building systems. Using a holistic approach, students develop an appreciation of buildings as a set of interconnected systems that can be built, modified, and adapted to meet requirements for functionality, energy consumption and human comfort.",Bachelor of Building Science (Honours).
ckwg.CA.en.1.03,Civil Engineering Technology,"This three-year Ontario College Advanced Diploma program is a continuation of the Construction Engineering Technician program and allows graduates to pursue a wider variety of careers related to civil construction. Students focus on more advanced topics including project administration, civil estimating, design of steel structures, and highway and environmental engineering. In addition, students broaden their skills in other civil engineering sub-disciplines, such as statics, structural analysis, hydraulics, GIS, water and wastewater technology and geotechnical materials.",Civil Engineering Technology.
ckwg.CA.en.1.03,Construction Engineering Technician (Weekend offering),"This two-year Ontario College Diploma program is a comprehensive introduction to a variety of aspects of the construction industry. It is a blend of theory and practice comprising of courses, such as surveying, construction materials, estimating and construction documentation. Graduates are positioned to pursue careers in residential or commercial construction. In addition, the program has strong ties to the local construction industry and is supported by an advisory committee made up of local industry leaders.",Construction Engineering Technician (Weekend offering).
ckwg.CA.en.1.03,Construction Engineering Technician/Civil Engineering Technology,"This two-year Ontario College Diploma program is a comprehensive introduction to a variety of aspects of the construction industry. It is a blend of theory and practice comprising of courses, such as surveying, construction materials, estimating, and construction documentation and positions graduates to pursue careers in residential or commercial construction. In addition, the program has strong ties to the local construction industry and is supported by an advisory committee made up of local industry leaders.",Construction Engineering Technician/Civil Engineering Technology.
ckwg.CA.en.1.03,Electrical Engineering Technician,"This two-year Ontario College Diploma program prepares students for career paths in the electrical, communications, manufacturing, utilities and protection fields. The program appeals to students whose interests go beyond operation of devices and equipment in their environment and extends to the challenges of understanding and analyzing the action and interaction of internal components.",Electrical Engineering Technician.
ckwg.CA.en.1.03,Electrical Engineering Technology,"The three-year Electrical Engineering Technology program at Algonquin College prepares students to design and specify electrical equipment, systems and components. Technology students choose either an “automation” stream that emphasizes microelectronic control systems, or specialize in a “utilities” stream which focuses on elements of protection and control, and the design of transmission and distribution power systems.",Electrical Engineering Technology.
ckwg.CA.en.1.03,Electro-Mechanical Engineering Technician - Robotics,"This two-year Ontario College Diploma program provides students with the technical skills required to repair and modify automated equipment used in the home automation, retail, manufacturing, gaming, security, medical and energy sectors. Students acquire knowledge in many aspects of electronics and mechanics including: programmable logic devices (PLD), programmable integrated circuits (PIC), programmable logic controllers (PLC), computer-aided design (CAD), computer numerical control (CNC), motor controls, programming embedded systems, machine tool operations and fluid power.",Electro-Mechanical Engineering Technician - Robotics.
ckwg.CA.en.1.03,Forestry Technician,"This two-year Ontario College Diploma program delivered in a compressed format over 47 weeks is the most practical and field-oriented Forestry Technician program in Ontario. Students spend approximately 30 percent of the program duration outdoors in a diversity of landscapes including Algonquin Park, the Petawawa Research Forest, Shaw Woods, County forests, Crown lands and private woodlots.",Forestry Technician.
ckwg.CA.en.1.03,Geographic Information Systems,"Geographic Information Systems (GIS) technologies are used to acquire, analyze and present spatial data in an ever-increasing number of disciplines, from archaeology to zoology, in both the private and public sectors. This one-year Ontario College Graduate Certificate program (offered in three consecutive terms) is designed to provide individuals who have previously obtained a degree or diploma with the knowledge and skills to apply GIS technologies in their field.",Geographic Information Systems.
ckwg.CA.en.1.03,Home Inspection (part-time),"Home inspectors provide an objective, independent and comprehensive analysis of a home's major systems and components. Students in this College Certificate program learn the technical skills to assess and report on the condition of a home and its systems, as well as the business communication skills to build a successful practice in the home inspection field. Topics include roofing, insulation, structural, electrical, plumbing, heating, air conditioning and interior/exterior structures and systems in residential dwellings.",Home Inspection (part-time).
ckwg.CA.en.1.03,Manufacturing Engineering Technician,"This two-year Ontario College Diploma program prepares students for entry into the manufacturing engineering industry. Students prepare for an extensive variety of dynamic technical positions requiring strong mechanically oriented backgrounds within the manufacturing industry. In a combination of classroom and lab-based environments, students develop knowledge and skills essential to succeed in the multifaceted, fast-paced field of manufacturing engineering.",Manufacturing Engineering Technician.
ckwg.CA.en.1.03,Mechanical Engineering Technology,"This three-year Ontario College Advanced Diploma program prepares students to apply scientific and engineering principles to solve mechanical engineering problems. Graduates become familiar with well-known design standards, such as ASHRAE and ASM International. Using industry-standard design software, such as SolidWorks, AutoCAD and MasterCAM, students become technologically savvy and highly employable on completion of the program.",Mechanical Engineering Technology.
ckwg.CA.en.1.03,Radiation Safety,This one-year Ontario College Certificate program prepares students to work as radiation protection personnel in nuclear facilities. Understanding the regulations that govern nuclear facilities and techniques for ensuring safety in nuclear facilities are important components of the program.,Radiation Safety.
ckwg.CA.en.1.03,Water and Wastewater Technician,"This two-year Ontario College Diploma program delivered in a compressed format over 45 weeks, provides students with the knowledge and skills required to secure rewarding careers working in their local communities. The program is a practical blend of theory and practice. Courses focus on applied learning and advanced training in chemistry, biology and mechanical systems.",Water and Wastewater Technician.
ckwg.CA.en.2.07,Business Analysis Studies (part-time),"This online College Certificate program prepares students for careers in the area of Business Analysis Studies. Business Analysis relates to a set of tasks, procedures and techniques used by a Business Analyst (BA) to understand the internal and technical structures of a business organization. The BA gathers systems requirements from various areas of an organization and translates these into functional design specifications that can be successfully executed by project teams.",Business Analysis Studies (part-time).
ckwg.CA.en.2.07,Digital Analytics (part-time),"As investments in online channels continue to grow, businesses are increasingly looking for quantifiable results that maximize returns from digital initiatives. As a result, digital analytics has become a dynamic and innovative field of strategic importance. In this online College Certificate program, learners explore the measurement, collection, analysis and reporting of Internet data for the purposes of optimizing Web, Social Media and Mobile channels. Learners gain a broad perspective by going above and beyond clickstream data to investigate complementary research methodologies that shed light on the complete customer experience.",Digital Analytics (part-time).
ckwg.CA.en.2.07,Marketing Research and Business Intelligence,"This Ontario College Graduate Certificate program can launch your career in the dynamic, fast-changing and growing marketing research industry. Students learn to investigate how people think, how and why people purchase products and services and what motivates people to behave the way they do. The program provides students with the employable skills to conduct marketing and opinion research in the public, not-for-profit and private sectors and on the international scene. The curriculum emphasizes the marketing research process including: research design; questionnaire construction; moderator`s guide construction; data collection; data base construction; basic and intermediate statistical analysis and interpretation; and report writing skills. In addition, students become familiar with the scientific method of hypotheses testing and reaching conclusions to solve business problems. Students are exposed to current and emerging techniques in marketing research.",Marketing Research and Business Intelligence.
ckwg.CA.en.3.03,Performing Arts,"This one-year Ontario College Certificate program allows emerging artists a unique opportunity to advance their craft while obtaining live and digital performance skills. Students enhance their performance ability in voice, movement, spoken word, comedy, theatre, music or any other performance-related area. An introduction to vocal, audition, stage presence, production and on-camera techniques are provided in professional studio settings.",Performing Arts.
ckwg.CA.en.1.04,General Arts and Science - Aviation Management,"The Aviation Management – General Arts and Science program at Algonquin College teaches theory and 250 hours of flight time, in partnership with the Ottawa Flying Club and Ottawa Aviation Services, to prepare students to become commercial pilots.",General Arts and Science - Aviation Management.
ckwg.CA.en.1.04,Plumber (Apprenticeship),This apprenticeship program is designed to train plumbing apprentices for careers as plumbers and fulfills the in-class requirements of the Plumber apprenticeship program. The program concentrates on the theory of plumbing design and the regulations governing the installation of plumbing systems.,Plumber (Apprenticeship).
ckwg.CA.en.1.04,Truck and Coach Technician (Apprenticeship),"This apprenticeship program completes the in-class requirements for the Truck and Coach Technician apprentices, as determined by the Ministry of Training, Colleges and Universities. Apprentices who have completed the Commercial Vehicle and Equipment Level 01 and are currently working in the truck and coach repair industry can continue their education in this program.",Truck and Coach Technician (Apprenticeship).
ckwg.CA.en.3.05,Broadcasting - Radio,"This two-year Ontario College Diploma program provides students with the formal training to become leaders in the communication industry. The curriculum covers all aspects of the radio industry, including announcing, broadcast journalism and production techniques. Equal importance is given to creative production elements and technical quality in operations. The program follows a hands-on approach to learning at Algonquin`s two radio stations CKDJ 107.9 and AIR AM1700. The importance of teamwork is stressed in the operation of both stations.",Broadcasting - Radio.
ckwg.CA.en.3.05,Broadcasting - Television,"This two-year Ontario College Diploma program provides students with the formal training to become leaders in the television production industry. The curriculum covers the creative side of production, as well as technical operations. Following a hands-on approach, students explore all aspects of in-studio and field production, news writing, camera operations and editing. As many projects are completed outside of class hours, students must be prepared to work on evenings and weekends.",Broadcasting - Television.
ckwg.CA.en.3.05,General Arts and Science - Media and Communication Studies,"This one-year Ontario College Certificate program is designed for students who are interested in media, communications, writing, film studies and photography. The program prepares students for success in a variety of programs including Advertising, Business - Marketing, Broadcasting-Television, Broadcasting-Radio, Public Relations and Journalism. Students explore their interests, aptitudes and skills, assess career choices, experience college delivery of course material and generally prepare for further postsecondary studies.",General Arts and Science - Media and Communication Studies.
ckwg.CA.en.3.05,Journalism,"This two-year Ontario College Diploma program provides practical training in traditional and multiplatform journalism. The award-winning Algonquin Times, named Canada`s top campus newspaper in 2014, and Ottawa`s student magazine, Glue, are the primary learning publications in levels two and three of the program.",Journalism.
ckwg.CA.en.3.05,Public Relations,"This two-year Ontario College Diploma program blends public relations theory with practical experience in research, writing, editing, time and resource management, concept creation, speaking and organization. Courses are offered in a variety of learning environments, such as the classroom, the computer lab, the office setting and online. In the final level, students participate in a field placement.",Public Relations.
ckwg.CA.en.3.05,Social Media (part-time),"Social media is a dynamic, innovative field that has shifted traditional business and communication practices. In this unique College Certificate program, learners explore five key areas related to social media: theory and foundations, designing social media strategies, monitoring and evaluation, digital communication and applied social media practices for organizations.",Social Media (part-time).
ckwg.CA.en.3.05,Technical Writer,"This one-year Ontario College Graduate Certificate program prepares students for careers as technical communicators. Students learn to create a variety of documents found in the workplace such as proposals, white papers, user guides, training material, and instruction sets. Through real-world applications and assignments, students become proficient at research, analysis and organization. Students participate in group projects and collaborative learning activities within the program and across technology platforms.",Technical Writer.
ckwg.CA.en.3.05,Technical Writer (part-time),"This Ontario College Graduate Certificate program prepares students for careers as technical communicators. Students learn to create a variety of documents found in the workplace such as proposals, white papers, user guides, training material, and instruction sets. Through real-world applications and assignments, students become proficient at research, analysis and organization. Students participate in group projects and collaborative learning activities within the program and across technology platforms.",Technical Writer (part-time).
ckwg.CA.en.4.02,Bachelor of Science in Nursing,"The 4-year Bachelor of Science in Nursing degree program at Algonquin College in the Ottawa Valley is offered in collaboration with the University of Ottawa. This program prepares students for a variety of career options, including working independently or part of a team, in hospitals, with health agencies, at public health units, or in long-term care facilities.",Bachelor of Science in Nursing.
ckwg.CA.en.4.02,Clinically Intensive Orientation to Nursing in Ontario,"This Ontario College Graduate Certificate program prepares nurses who are registered in Ontario or other Canadian jurisdictions (or have let their Ontario registration lapse), as well as non-registered internationally educated nurses, to write the provincial registration examinations and to meet the requirements for extended clinical practice that confirm currency of practice.",Clinically Intensive Orientation to Nursing in Ontario.
ckwg.CA.en.4.02,Dental Hygiene,"This three-year Ontario College Advanced Diploma program, delivered over two and one-half years, is accredited by the Commission on Dental Accreditation of Canada. Students practise primary oral healthcare in their roles as preventive specialists. As members of a self-regulated profession, dental hygienists are responsible to the College of Dental Hygienists of Ontario for their practice decisions. Program emphasis is on preparing graduates to function effectively within a collaborative relationship which includes the client, community and other healthcare providers.",Dental Hygiene.
ckwg.CA.en.4.02,Developmental Services Worker,"This two-year Ontario College Diploma program prepares students to develop and implement a wide range of physical, emotional and social interventions to support and enhance functioning of people of all ages who have various physical, mental and/or developmental disabilities. Students learn about developmental disabilities, health and well-being, augmentative communication, pharmacology and programming for people of all ages. Students apply theoretical concepts and skills in various community field placement settings offering specialized support, including schools, residential programs, vocational day programs, long-term care and recreational facilities.",Developmental Services Worker.
ckwg.CA.en.4.02,General Arts and Science - Pre-Nursing,"This one-year Ontario College Certificate program helps students meet the academic requirements needed to apply to the Bachelor of Science in Nursing (BScN) at the University of Ottawa, including the collaborative program with Algonquin. Students interested in applying to other BScN programs are advised to consult with the admission office at the specific institution for more information. BScN programs are in high demand and the grade average required for entry varies based on the number of applicants.",General Arts and Science - Pre-Nursing.
ckwg.CA.en.4.02,Massage Therapy,"This three-year Ontario College Advanced Diploma program graduates students with the knowledge, skills and attitudes necessary to provide safe, effective and ethical care at the entry-level of practice within the massage therapy profession.",Massage Therapy.
ckwg.CA.en.4.02,Massage Therapy (Intensive Offering),"This two-year Ontario College Advanced Diploma program graduates students with the knowledge, skills and attitudes necessary to provide safe, effective and ethical care at an entry-level of practice within the massage therapy profession. This intensive program is designed for those with the capacity, desire and focus to learn the art and science of massage therapy within an accelerated timeframe.",Massage Therapy (Intensive Offering).
ckwg.CA.en.4.02,Occupational Therapist Assistant / Physiotherapy Assistant,"This two-year Ontario College Diploma program equips students with the knowledge and skills to work under the direction of an occupational therapist and/or physiotherapist. The occupational therapist assistant, physiotherapist assistant plays a vital supporting role in the assessment, planning and implementation of therapeutic care to patients with the goal of achieving functional independence and occupational performance.",Occupational Therapist Assistant / Physiotherapy Assistant.
ckwg.CA.en.4.02,Orientation to Nursing in Ontario for Nurses,"This Ontario College Graduate Certificate program prepares nurses who are registered in Ontario or other Canadian jurisdictions, or nurses who have let their Ontario registration lapse, as well as non-registered internationally educated nurses, to write the provincial registration examinations or to fulfill other regulatory body requirements.",Orientation to Nursing in Ontario for Nurses.
ckwg.CA.en.4.02,Respiratory Therapy,"This three-year Ontario College Advanced Diploma program is accredited by the Council on Accreditation for Respiratory Therapy Education and approved by the College of Respiratory Therapists of Ontario. It is a demanding program, academically, technologically and clinically. Students must integrate knowledge of anatomy, physiology and pathophysiology with that of pharmacology and technology in order to provide precise diagnostic information to other members of the healthcare team, to care for the critically ill and those in the home environment.",Respiratory Therapy.
ckwg.CA.en.3.04,General Arts and Science - Introduction to Music Industry Arts,"This one-year Ontario College Certificate program is designed for students with minimal or no music experience who have an interest in the music industry. Students are provided with the opportunity to gain knowledge of the music industry before investing in a diploma or degree. Students receive an introduction to the history of pop music, song writing and performance, entertainment law, audio recording, marketing, production, Musical Instrument Digital Interface (MIDI), mixing and mastering final recordings. This program is useful for individuals who want to experience college delivery of course material, who want a starting point to pursue a career in the music industry, or who are looking to build a music portfolio for entrance into a diploma or degree program.",General Arts and Science - Introduction to Music Industry Arts.
ckwg.CA.en.3.04,Music Industry Arts,"This two-year Ontario College Diploma program delivered in a condensed format over 45 weeks prepares students to work as producers, engineers and music professionals in today`s music industry. Students produce multi-track recordings demonstrating a full range of audio engineering and music production skills. Strong emphasis is placed on the study of the music industry as a whole and the business concepts involved. Legal contracts, copyright issues, royalties and music publishing are explored. Curriculum delivery emphasizes applied learning in professional studio settings.",Music Industry Arts.
ckwg.CA.en.3.02,Animation,"This three-year Ontario College Advanced Diploma program provides students with training in traditional, 3D, 2D tradigital and video game animation techniques. The program of study includes animation, life drawing and design courses focusing on all facets of animation including performance-based character animation, location design, character design, gestures and anatomy studies.",Animation.
ckwg.CA.en.3.02,Bachelor of Interior Design,"This four-year Bachelor of Interior Design degree prepares students to pursue a professional career related to the design of the built environment. The curriculum integrates professional and general studies with an emphasis on critical thinking and applied research, and is enriched with an additional focus on international perspectives in interior design.",Bachelor of Interior Design.
ckwg.CA.en.3.02,Bachelor of Interior Design (Honours),"This four-year Bachelor of Interior Design degree prepares students to pursue a professional career related to the design of the built environment. The curriculum integrates professional and general studies with an emphasis on critical thinking and applied research, and is enriched with an additional focus on international perspectives in interior design.",Bachelor of Interior Design (Honours).
ckwg.CA.en.3.02,General Arts and Science - Concept Art Foundations,"In this one-year Ontario College Certificate program, students explore a blend of digital image creation techniques and traditional theory to create original characters, environments and concepts for the entertainment industry. It is delivered partially online with video tutorials and online assistance and partially in the classroom in smaller groups to allow for hands-on learning. Students learn the fundamentals of colour, light and composition, as well as develop insight into career opportunities and industry standards. The structure of the program ensures individualized support and feedback to guide students in the production of a professional portfolio in digital imaging and concept art.",General Arts and Science - Concept Art Foundations.
ckwg.CA.en.3.02,General Arts and Science - Design Studies,"This one-year Ontario College Certificate program is intended for students who are interested in exploring a career in design through the preparation of a competitive portfolio. Students develop their creative design and drawing skills allowing them to pursue more advanced studies in related programs including but not limited to Graphic Design, Interior Decorating, Bachelor of Applied Arts (BBA)-Interior Design, Advertising, Architectural Technician/Technology and Game Development.",General Arts and Science - Design Studies.
ckwg.CA.en.3.02,General Arts and Science - Introduction to Fine Art,"This one-year Ontario College Certificate program is designed for students interested in exploring fine art and related careers in arts and culture industries. Students investigate strategies to balance a professional artist career with fulfilling employment in the arts and culture sector. They experience hands-on training in painting, drawing, printmaking, sculpture and digital media. A variety of careers are introduced, as well as essential business skills required to work as a professional artist. This program is ideal for students who want to develop a portfolio for pursuing university studies in a Bachelor of Fine Art (BFA) or college diploma programs. Career paths may include the following: gallery administration and management, art education, art conservation and restoration, museum programming, municipal arts programming, photography, graphic design and interior decorating.",General Arts and Science - Introduction to Fine Art.
ckwg.CA.en.3.02,General Arts and Science - Pre-Animation and Illustration,"This one-year Ontario College Certificate program is designed for students who are interested in art, drawing, animation, life drawing, illustration, comic books and photography. The program provides students an opportunity to determine whether they have the interest, motivation, creativity and dexterity to pursue a career in animation, illustration or concept art. Students experience college delivery of course material while developing a portfolio and building their drawing and creative skills to prepare for further studies in animation or illustration.",General Arts and Science - Pre-Animation and Illustration.
ckwg.CA.en.3.02,Graphic Design,"The Graphic Design program at Algonquin College is designed for individuals who are interested in applying their creativity to communicating ideas and concepts in both print and digital media. Students develop the expertise required to become graphic designers through strong practical and theoretical training in typography, the basic fundamentals of creativity, design, image, form, colour, and production skills.",Graphic Design.
ckwg.CA.en.3.02,Illustration and Concept Art,"This two-year Ontario College Diploma program delivered in a condensed format over 45 weeks prepares graduates for entry into the traditional field of illustration, as well as the emerging field of concept art. Students are introduced to other skills, such as print periodical illustration, children`s book illustration and illustration of graphic novels.",Illustration and Concept Art.
ckwg.CA.en.3.02,Interactive Media Design,"This two-year Ontario College Diploma program is designed to prepare students for a variety of careers in the digital media industry. Students explore the primary elements of media project planning and development with equal importance given to the creative and the technical aspects. Strong emphasis is placed on hands-on media production through courses in web development, digital imaging, authoring, animation, photography and video. Students plan and execute individual and team-based projects and gain practical experience working with live clients. The curriculum is delivered on a variety of platforms including Apple OS X, Windows and a variety of mobile operating systems.",Interactive Media Design.
ckwg.CA.en.3.02,Interactive Media Management,"This one-year Ontario College Graduate Certificate program prepares students to advance their career in Interactive Media Management. Now in its 20th plus year, this pioneering program is highly concentrated and allows students to develop the professional skill sets needed in today`s market. All courses follow a hands-on approach to experiential learning and emphasize individual skills while giving special importance to teamwork.",Interactive Media Management.
ckwg.CA.en.3.02,Interior Decorating,This Canadian Decorators Association (CDECA) recognized two-year Ontario College Diploma program is designed to provide the students with the essential skills required to succeed as interior decorators. Strong emphasis is placed on a hands-on approach to reflect and better prepare students for the real world of residential and commercial decorating.,Interior Decorating.
ckwg.CA.en.3.02,Kitchen and Bath Design,"This one-year Ontario College Graduate Certificate program provides students with a general understanding of the industry codes, guidelines and standards used for professional kitchen and bathroom design. In addition, students explore the environmental, electrical and mechanical considerations used in universal design.",Kitchen and Bath Design.
ckwg.CA.en.3.02,Mobile and Web User Experience Design (part-time),"User experience design is one of the fastest growing and dynamic sectors in the digital media industry. Ease-of-use is increasingly becoming a competitive business advantage as customers expect products and services to be intuitive and user-friendly. This online College Certificate program explores the structural, informational and psychological aspects of successful user interfaces for mobile, desktop and web applications.",Mobile and Web User Experience Design (part-time).
ckwg.CA.en.3.02,Photography,"This two-year Ontario College Diploma program is designed to train students to capture, create, and alter images, and demonstrate a professional level of craft and creativity in digital imaging. Digital knowledge and skills are integrated with the fundamentals of photography to emphasize the creation of images that communicate effectively and meet the needs of clients. Although this program is quite technical, students are encouraged to showcase their creative visual talents while designing and capturing images that successfully communicate their message.",Photography.
ckwg.CA.en.4.03,Dental Assisting (Levels I and II),"This one-year Ontario College Certificate program is accredited by the Commission on Dental Accreditation of Canada. Students are prepared to practise in a professional, ethical and collaborative manner in a variety of dental practice settings. Students develop expertise in clinical chairside and laboratory skills, intra-oral care, radiography, oral health education and promotion, business administration and maintenance of the dental environment. Students enhance their knowledge and skills through the provision of client care in Algonquin College`s onsite dental clinic and participation in a two-week placement in a private dental office.",Dental Assisting (Levels I and II).
ckwg.CA.en.4.03,Orientation to Nursing in Ontario for Practical Nurses,"This Ontario College Certificate program prepares practical nurses who are registered in Ontario or other Canadian jurisdictions (or have let their Ontario registration lapse), to fulfill the regulatory requirements of the College of Nurses and refresh their nursing knowledge and skills. Graduates can also bridge into the Practical Nursing Ontario College Diploma program.",Orientation to Nursing in Ontario for Practical Nurses.
ckwg.CA.en.4.03,Personal Support Worker,"This one-year Ontario College Certificate program provides students with the knowledge and practical skills to work as a care provider in a wide range of healthcare environments. Students develop the ability to engage with persons and/or families of various ages and health related needs to promote healthy living. Students learn how to assist clients with their daily personal care needs, such as bathing, dressing, grooming and toileting.",Personal Support Worker.
ckwg.CA.en.4.03,Practical Nursing,This two-year Ontario College Diploma program prepares students with the knowledge and skills to work as a practical nurse in the healthcare system and to write the Canadian Practical Nurse Registration Examination in Ontario.,Practical Nursing.
ckwg.CA.en.4.03,Practical Nursing Foreign Trained Nurse Option (Entry Level 3),This program enables internationally educated nurses (IENs) to meet entry to practice requirements set for registered practical nurses in Ontario. The program provides nurses with the basic knowledge and skills to write the Canadian Practical Nurse Registration Examination (CPNRE).,Practical Nursing Foreign Trained Nurse Option (Entry Level 3).
ckwg.CA.en.4.05,Fitness and Health Promotion,"This two-year Ontario College Diploma program prepares students to perform the roles and responsibilities of fitness and health consultants. Fitness and health consultants, plan, promote and deliver a wide variety of services including activity and educational programs that can enhance the health, fitness and well-being of individuals and groups in diverse settings. In the final level, students have the opportunity to obtain nationally recognized certifications in Group Fitness and Personal Training.",Fitness and Health Promotion.
ckwg.CA.en.4.05,Fitness and Health Promotion (Year 1) (part-time),"This Ontario College Diploma program prepares students to perform the roles and responsibilities of fitness and health consultants. Fitness and health consultants plan, promote and deliver a wide variety of services including activity and educational programs that can enhance the health, fitness and well-being of individuals and groups in diverse settings.",Fitness and Health Promotion (Year 1) (part-time).
ckwg.CA.en.4.05,Strength and Conditioning Training (part-time),"This online College Certificate provides students with comprehensive training in strength and conditioning, a rapidly growing and emergent field of health and fitness. The key focus is on developing and designing protocols and guidelines for efficient and productive programs for athletes of varying abilities and ages with an emphasis on broad-based, balanced muscle development and comprehensive, sport-specific strength-training. Students gain in-depth strength and conditioning knowledge and skills built on the six core training phases: anatomical adaptation, hypertrophy, maximum strength, specific strength, maintenance and tapering to integrate with energy system training to develop stronger athletes.",Strength and Conditioning Training (part-time).
ckwg.CA.en.5.06,Applied Museum Studies,"This three-year Ontario College Advanced Diploma program provides students with technical knowledge and skills to support curatorial and conservation activities in the museum, heritage and cultural sectors. Students develop capabilities related to cultural resource management, focusing on collections care, research and interpretation. Areas of study include classifying, cataloguing and interpreting collections of artifacts and works of art, constructing and installing exhibits and displays, assessing, preserving and treating material culture.",Applied Museum Studies.
ckwg.CA.en.5.06,Emergency Management,"his Ontario College Graduate Certificate program equips students, both tactically and strategically, to understand and respond to the four domains of emergency management: mitigation/prevention, preparedness, response and recovery. The curriculum covers key topics; legislative and policy framework, emergency management site operations, risk management, critical infrastructure protection, business continuity planning and collections and analysis from exercises and real events to improve the capacity to respond to emergencies.",Emergency Management.
